,Name,Province,Service,Address,Location
0,Seyhan Posta Dağıtım Merkezi,Adana,PTT Kargo,"Belediye Evleri, Hilmi Kürklü Blv. No:32, 01170 Çukurova/Adana, Türkiye","37.033781999999995, 35.267297"
1,Ptt-adana Pim,Adana,PTT Kargo,"Fevzipaşa, 48019. Sk. No:20, 01190 Seyhan/Adana, Türkiye","36.9968934, 35.276778"
2,Adana Posta İşleme Merkezi,Adana,PTT Kargo,"Fevzipaşa, 48019. Sk. No:87, 01190 Seyhan/Adana, Türkiye","36.9971527, 35.2748213"
3,Ptt Kargo,Adana,PTT Kargo,"Kurtuluş, Atatürk Cad. İstasyon Meydanı, 01130 Seyhan/Adana, Türkiye","37.0028364, 35.3203063"
4,Ptt Çukurova Adana,Adana,PTT Kargo,"Toros, Toros mh. Barış Manço Blv. No:9 Gökçe apt.altı, Toros, Barış Manço Blv., 01175 Çukurova/Adana, Türkiye","37.046453899999996, 35.298321"
5,Ptt Kargo Isleme Merkezi,Adana,PTT Kargo,"Fevzipaşa, 48037. Sk., 01190 Seyhan/Adana, Türkiye","36.996946799999996, 35.2749137"
6,Ptt-hayalpark Şubesi,Adana,PTT Kargo,"Yurt, Kasım Ener Cd No:8 D:20, 01170 Çukurova/Adana, Türkiye","37.034816000000006, 35.291644999999995"
7,Meydan Terminal PTT Şubesi,Adana,PTT Kargo,"Havalimanı, Seyhan, 01130 Seyhan/Adana, Türkiye","36.987534, 35.286846"
8,Ptt Yüreğir Dağıtım Merkezi,Adana,PTT Kargo,"Özgür, Girne Blv. No:111, 01260 Yüreğir/Adana, Türkiye","36.9873894, 35.3550016"
9,Ptt Subesi,Adana,PTT Kargo,"Karşısı, Belediye Evleri, Ruh Sağlığı Hst. No:249/C, 01170 Çukurova/Adana, Türkiye","37.0507096, 35.2611371"
10,PTT Kargo - Barajyolu Şubesi,Adana,PTT Kargo,"Dörtler, Necip Fazıl Blv No:12, 01140 Seyhan/Adana, Türkiye","37.0267038, 35.3121782"
11,PTT Atilla Altıkat Şubesi,Adana,PTT Kargo,"Çınarlı, 61003. Sk., 01060 Seyhan/Adana, Türkiye","36.990961999999996, 35.322485"
12,PTT-100. Year Branch,Adana,PTT Kargo,"Yüzüncüyıl, 85041. Sk. Pk:01360, 01360 Çukurova/Adana, Türkiye","37.046363, 35.2467068"
13,PTT Adana Koop,Adana,PTT Kargo,"Belediye Evleri, 84029. Sk. 6 A, 01170 Çukurova/Adana, Türkiye","37.033826999999995, 35.2605706"
14,Ptt Adana Başmüdürlüğü,Adana,PTT Kargo,"Kurtuluş, 64019. Sk No:3, 01130 Seyhan/Adana, Türkiye","37.0023622, 35.3204424"
15,Dumlupınar PTT Şubesi,Adana,PTT Kargo,"Meydan, Meydan Cd. No:40, 01070 Seyhan/Adana, Türkiye","36.9835613, 35.309809"
16,PTT Mavi Bulvar,Adana,PTT Kargo,"Yurt, Ahmet Sapmaz Blv. No:16 D:1, 01170 Dörtler Köyü/Çukurova/Adana, Türkiye","37.0283486, 35.299264799999996"
17,PTT barkal şubesi,Adana,PTT Kargo,"Onur, Kiza iş merkezi, 01190 Seyhan/Adana, Türkiye","36.9960011, 35.2573582"
18,Branch Post Office-nursing homes,Adana,PTT Kargo,"Huzurevleri, 77208 Cad. 25/7, 01330 Çukurova/Adana, Türkiye","37.0454988, 35.279497899999996"
19,Sarıçam post office,Adana,PTT Kargo,"Ptt, Kozan Cad. No:555, 01240 Yüreğir/Adana, Türkiye","37.0123812, 35.3786204"
20,Ptt kargo şube şefliği,Adıyaman,PTT Kargo,"Mimar Sinan, 02040 Adıyaman Merkez/Adıyaman, Türkiye","37.7623269, 38.264744799999995"
21,Ptt,Adıyaman,PTT Kargo,"Eskisaray, Atatürk Blv. Yanyolu, 02100 Merkez/Adıyaman Merkez/Adıyaman, Türkiye","37.7623867, 38.2713997"
22,PTT,Adıyaman,PTT Kargo,"Yeni Sanayi, 1. Çarşı D:3, 02040 Adıyaman Merkez/Adıyaman, Türkiye","37.736484, 38.2169561"
23,PTT Genel Müdürlük,Adıyaman,PTT Kargo,"Sümerevler, Atatürk Blv. Yanyolu No:58, 02030 Adıyaman Merkez/Adıyaman, Türkiye","37.7552572, 38.25164230000001"
24,Ptt Bahçelievler,Adıyaman,PTT Kargo,"Bahçelievler, Eski Kahta Cd. No:34, 02290 Adıyaman Merkez/Adıyaman, Türkiye","37.7604604, 38.2847115"
25,Ptt Eskisaray,Adıyaman,PTT Kargo,"Eskisaray, Yahya Kemal Cd. NO:1, 02100 Adıyaman Merkez/Adıyaman, Türkiye","37.7608679, 38.275046599999996"
26,PTT Kargo Afyon Kurtulus Subesi,Afyonkarahisar,PTT Kargo,"Marulcu, Kurtuluş Cd. No:59, 03200 Afyonkarahisar Merkez/Afyonkarahisar, Türkiye","38.7524367, 30.5443681"
27,PTT,Ağrı,PTT Kargo,"Yavuz, Vali Konağı Cd. No:67, 04100 Ağrı Merkez/Ağrı, Türkiye","39.722308, 43.050727099999996"
28,PTT Ağrı Şubesi (Posta ve Telgraf Teşkilatı),Ağrı,PTT Kargo,"Leylek Pınar Mahallesi Cumhuriyet Caddesi Numara: 48, Leylek Pınar, 04200 Ağrı Merkez/Ağrı, Türkiye","39.7201223, 43.05239650000001"
29,Post Office Shipping,Ağrı,PTT Kargo,"Leylek Pınar, Hanibaba Blv., 04200 Ağrı Merkez/Ağrı, Türkiye","39.7196681, 43.0589704"
30,PTT,Ağrı,PTT Kargo,"Kazım Karabekir, Erzurum Cad./980 Sok. No:1, 04100 Ağrı Merkez/Ağrı, Türkiye","39.728975, 43.04889"
31,Ptt-valilik Şubesi,Ağrı,PTT Kargo,"Fırat, 04100 Ağrı Merkez/Ağrı, Türkiye","39.7181269, 43.0333876"
32,Ptt-y. Devlet Hastanesi Şubesi,Ağrı,PTT Kargo,"Fırat, 04100 Ağrı Merkez/Ağrı, Türkiye","39.716941999999996, 43.017452999999996"
33,PTT,Aksaray,PTT Kargo,"Hacı Hasanlı, PTT Cd. No:6, 68100 Merkez/Aksaray Merkez/Aksaray, Türkiye","38.372412, 34.0286371"
